Entry,Entry name,geneid,genename
Q61618,AA3R_MOUSE,,Adora3
Q99PG0,AAAD_MOUSE,67758;,Aadac
Q9D1A0,AAED1_MOUSE,66129;,Aaed1
Q3UHJ0,AAK1_MOUSE,269774;,Aak1
Q6PAM0,AAKB2_MOUSE,108097;,Prkab2
Q99K67,AASS_MOUSE,30956;,Aass
Q9JKX4,AATF_MOUSE,56321;,Aatf
Q99JW1,AB17A_MOUSE,216169;,Abhd17a
Q8K440,ABC8B_MOUSE,27404;,Abca8b
O35600,ABCA4_MOUSE,11304;,Abca4
Q8K448,ABCA5_MOUSE,217265;,Abca5
Q8K449,ABCA9_MOUSE,217262;,Abca9
Q9JJ59,ABCB9_MOUSE,56325;,Abcb9
Q9QY30,ABCBB_MOUSE,27413;,Abcb11
Q99LE6,ABCF2_MOUSE,27407;,Abcf2
Q8K268,ABCF3_MOUSE,27406;,Abcf3
Q64343,ABCG1_MOUSE,11307;,Abcg1
Q99PE8,ABCG5_MOUSE,27409;,Abcg5
Q9DBM0,ABCG8_MOUSE,67470;,Abcg8
Q8R0P8,ABHD8_MOUSE,64296;,Abhd8
Q80UX8,ABHDD_MOUSE,68904;,Abhd13
Q922Q6,ABHEA_MOUSE,,Abhd14a
Q8VCR7,ABHEB_MOUSE,,Abhd14b
P62484,ABI2_MOUSE,329165;,Abi2
Q9QYL7,ABT1_MOUSE,30946;,Abt1
E9Q4Z2,ACACB_MOUSE,100705;,Acacb
P45952,ACADM_MOUSE,11364;,Acadm
P50544,ACADV_MOUSE,11370;,Acadvl
Q8K2H4,ACAP1_MOUSE,216859;,Acap1
Q6ZQK5,ACAP2_MOUSE,78618;,Acap2
Q2XU92,ACBG2_MOUSE,328845;,Acsbg2
Q61151,2A5E_MOUSE,26932;,Ppp2r5e
Q7TNP2,2AAB_MOUSE,73699;,Ppp2r1b
Q8BG02,2ABG_MOUSE,269643;,Ppp2r2c
P55194,3BP1_MOUSE,20401;,Sh3bp1
Q8BMN3,ACHB3_MOUSE,108043;,Chrnb3
Q9QYR7,ACOT3_MOUSE,171281;,Acot3
Q8BWN8,ACOT4_MOUSE,171282;,Acot4
Q9EPL9,ACOX3_MOUSE,80911;,Acox3
Q9DBS4,ACOXL_MOUSE,74121;,Acoxl
Q9CR21,ACPM_MOUSE,70316;,Ndufab1
P68033,ACTC_MOUSE,11464;,Actc1
Q91XE4,ACY3_MOUSE,71670;,Acy3
