Entry,Entry name,geneid,genename
Q8BZ32,ASXL2_MOUSE,75302;,Asxl2
Q9QZW0,AT11C_MOUSE,320940;,Atp11c
Q5XF89,AT133_MOUSE,224088;,Atp13a3
Q8VDN2,AT1A1_MOUSE,11928;,Atp1a1
P97370,AT1B3_MOUSE,11933;,Atp1b3
O55143,AT2A2_MOUSE,11938;,Atp2a2
G5E829,AT2B1_MOUSE,67972;,Atp2b1
A7L9Z8,AT2C2_MOUSE,69047;,Atp2c2
Q9CQQ7,AT5F1_MOUSE,11950;,Atp5f1
Q9CR84,AT5G1_MOUSE,11951;,Atp5g1
P56384,AT5G3_MOUSE,228033;,Atp5g3
P98199,AT8B2_MOUSE,54667;,Atp8b2
A3FIN4,AT8B5_MOUSE,320571;,Atp8b5
Q8K341,ATAT_MOUSE,73242;,Atat1
Q8BHE3,ATCAY_MOUSE,16467;,Atcay
P81269,ATF1_MOUSE,11908;,Atf1
Q9CWQ3,ATP23_MOUSE,68876;,Atp23
Q9CPQ8,ATP5L_MOUSE,27425;,Atp5l
Q9D3D9,ATPD_MOUSE,66043;,Atp5f1d
Q9D7H4,AVPI1_MOUSE,69534;,Avpi1
P27038,AVR2A_MOUSE,11480;,Acvr2a
P50428,ARSA_MOUSE,11883;,Arsa
P50429,ARSB_MOUSE,11881;,Arsb
Q9D2L1,ARSK_MOUSE,77041;,Arsk
Q9D0U9,ARV1_MOUSE,68865;,Arv1
P50294,ARY1_MOUSE,17960;,Nat1
P50295,ARY2_MOUSE,17961;,Nat2
P50289,ASPX_MOUSE,11451;,Acrv1
Q8VD46,ASZ1_MOUSE,74068;,Asz1
Q8K2X1,AT10D_MOUSE,231287;,Atp10d
P98197,AT11A_MOUSE,50770;,Atp11a
Q5XF90,AT134_MOUSE,224079;,Atp13a4
Q3TYU2,AT135_MOUSE,268878;,Atp13a5
Q6PIE5,AT1A2_MOUSE,98660;,Atp1a2
Q6PIC6,AT1A3_MOUSE,232975;,Atp1a3
P14231,AT1B2_MOUSE,11932;,Atp1b2
P70704,AT8A1_MOUSE,11980;,Atp8a1
P98200,AT8A2_MOUSE,50769;,Atp8a2
Q148W0,AT8B1_MOUSE,54670;,Atp8b1
Q9Z2A5,ATE1_MOUSE,11907;,Ate1
P03930,ATP8_MOUSE,17706;,Mtatp8
Q91YY4,ATPF2_MOUSE,246782;,Atpaf2
Q60765,ATF3_MOUSE,11910;,Atf3
O35451,ATF6B_MOUSE,,Atf6b
Q9CPX6,ATG3_MOUSE,67841;,Atg3
Q99J83,ATG5_MOUSE,11793;,Atg5
Q62388,ATM_MOUSE,11920;,Atm
Q9DCX2,ATP5H_MOUSE,71679;,Atp5h
Q64430,ATP7A_MOUSE,11977;,Atp7a
Q9JM76,ARPC3_MOUSE,56378;,Arpc3
Q9D0A3,ARPIN_MOUSE,70420;,Arpin
Q8BWG8,ARRB1_MOUSE,109689;,Arrb1
Q91YI4,ARRB2_MOUSE,216869;,Arrb2
Q497K5,ARRD5_MOUSE,76920;,Arrdc5
P20443,ARRS_MOUSE,20215;,Sag
Q61024,ASNS_MOUSE,27053;,Asns
Q80VP9,ASPH2_MOUSE,72898;,Asphd2
Q99MQ4,ASPN_MOUSE,66695;,Aspn
Q8BIR2,ASTE1_MOUSE,66595;,Aste1
Q6ZWX0,ASTER_MOUSE,414077;,Wdr83os
Q6HA09,ASTL_MOUSE,215095;,Astl
Q61137,ASTN1_MOUSE,11899;,Astn1
P59598,ASXL1_MOUSE,228790;,Asxl1
Q925I1,ATAD3_MOUSE,108888;,Atad3
Q4QY64,ATAD5_MOUSE,237877;,Atad5
Q8R0S1,ATF7_MOUSE,,Atf7
Q9CQY1,ATG12_MOUSE,67526;,Atg12
Q91YI1,ATG13_MOUSE,51897;,Atg13
Q9D8Z6,ATGA1_MOUSE,68118;,Atg101
Q7TSK7,ATL2_MOUSE,77794;,Adamtsl2
O35126,ATN1_MOUSE,13498;,Atn1
Q8BH83,ANKR9_MOUSE,74251;,Ankrd9
Q9CZK6,ANKS3_MOUSE,72615;,Anks3
Q8C0W1,ANMY1_MOUSE,241158;,Ankmy1
Q6P9J9,ANO6_MOUSE,105722;,Ano6
P86044,ANO9_MOUSE,71345;,Ano9
Q80VM7,ANR24_MOUSE,70615;,Ankrd24
Q3UMR0,ANR27_MOUSE,245886;,Ankrd27
Q3V0J4,ANR53_MOUSE,75305;,Ankrd53
P59672,ANS1A_MOUSE,224650;,Anks1a
P32261,ANT3_MOUSE,11905;,Serpinc1
P07356,ANXA2_MOUSE,12306;,Anxa2
Q61548,AP180_MOUSE,20616;,Snap91
P61967,AP1S1_MOUSE,11769;,Ap1s1
Q7TN05,AP1S3_MOUSE,252903;,Ap1s3
Q9DBG3,AP2B1_MOUSE,71770;,Ap2b1
Q8BSZ2,AP3S2_MOUSE,11778;,Ap3s2
Q3TAP4,AP5B1_MOUSE,381201;,Ap5b1
Q00623,APOA1_MOUSE,11806;,Apoa1
P06728,APOA4_MOUSE,11808;,Apoa4
P56402,AQP2_MOUSE,11827;,Aqp2
P55088,AQP4_MOUSE,11829;,Aqp4
Q8C4A0,AQP6_MOUSE,11831;,Aqp6
O54794,AQP7_MOUSE,11832;,Aqp7
Q9JJJ3,AQP9_MOUSE,64008;,Aqp9
Q9D416,AR13A_MOUSE,74448;,Arl13a
Q9D385,AR2BP_MOUSE,107566;,Arl2bp
Q6PGD0,ARAID_MOUSE,381629;,Atraid
Q8R5G7,ARAP3_MOUSE,106952;,Arap3
Q6P068,ARL5C_MOUSE,217151;,Arl5c
P53762,ARNT_MOUSE,11863;,Arnt
Q99KN1,ARRD1_MOUSE,215705;,Arrdc1
A0A0B4J1F4,ARRD4_MOUSE,66412;,Arrdc4
Q32KI9,ARSI_MOUSE,545260;,Arsi
Q9Z0L2,ARTN_MOUSE,11876;,Artn
C0HK80,ARXS2_MOUSE,76219;76976;,Arxes2
O35085,ARX_MOUSE,11878;,Arx
Q9WV71,ASB4_MOUSE,65255;,Asb4
Q9CQE6,ASF1A_MOUSE,66403;,Asf1a
P24721,ASGR2_MOUSE,11890;,Asgr2
Q6NXK8,ASIC1_MOUSE,11419;,Asic1
Q925H0,ASIC2_MOUSE,11418;,Asic2
Q6X1Y6,ASIC3_MOUSE,171209;,Asic3
Q7TNS7,ASIC4_MOUSE,241118;,Asic4
Q9R0Y1,ASIC5_MOUSE,58170;,Asic5
P70158,ASM3A_MOUSE,57319;,Smpdl3a
P58242,ASM3B_MOUSE,100340;,Smpdl3b
D3KU66,ASMT_MOUSE,107626;,Asmt
Q04519,ASM_MOUSE,20597;,Smpd1
Q8BFS9,ASND1_MOUSE,70396;,Asnsd1
Q9DCQ2,ASPD_MOUSE,68352;,Aspdh
Q8BSY0,ASPH_MOUSE,65973;,Asph
Q8CJ27,ASPM_MOUSE,12316;,Aspm
Q8CG79,ASPP2_MOUSE,209456;,Tp53bp2
Q9CZ05,AT7L1_MOUSE,380753;,Atxn7l1
O70191,ATF5_MOUSE,107503;,Atf5
Q6PA06,ATLA2_MOUSE,56298;,Atl2
Q6P9S1,ATMIN_MOUSE,234776;,Atmin
P48985,ATOH1_MOUSE,11921;,Atoh1
O08997,ATOX1_MOUSE,11927;,Atox1
Q64446,ATP7B_MOUSE,11979;,Atp7b
Q505B7,ARCH_MOUSE,67106;,Zbtb8os
P84084,ARF5_MOUSE,11844;,Arf5
P62331,ARF6_MOUSE,11845;,Arf6
Q99NG0,ARIP4_MOUSE,81000;,Rad54l2
Q3SXC5,ARL14_MOUSE,,Arl14
Q8VEH3,ARL8A_MOUSE,68724;,Arl8a
Q3UZB0,ARMX5_MOUSE,494468;,Armcx5
Q641P0,ARP3B_MOUSE,242894;,Actr3b
Q9D864,ARP6_MOUSE,67019;,Actr6
Q8R2S9,ARP8_MOUSE,56249;,Actr8
Q9D668,ARRD2_MOUSE,70807;,Arrdc2
Q7TPQ9,ARRD3_MOUSE,105171;,Arrdc3
Q3TYD4,ARSG_MOUSE,74008;,Arsg
P98203,ARVC_MOUSE,11877;,Arvcf
Q2TA57,ASPH1_MOUSE,233879;,Asphd1
Q62415,ASPP1_MOUSE,21981;,Ppp1r13b
P16460,ASSY_MOUSE,11898;,Ass1
O54827,AT10A_MOUSE,11982;,Atp10a
Q99ME6,AT1B4_MOUSE,67821;,Atp1b4
Q8R429,AT2A1_MOUSE,11937;,Atp2a1
Q64518,AT2A3_MOUSE,53313;,Atp2a3
Q80XR2,AT2C1_MOUSE,235574;,Atp2c1
Q8C8R3,ANK2_MOUSE,109676;,Ank2
Q9WV06,ANKR2_MOUSE,56642;,Ankrd2
Q6VUP9,AP2E_MOUSE,332937;,Tfap2e
Q9JME5,AP3B2_MOUSE,11775;,Ap3b2
Q9JKC7,AP4M1_MOUSE,11781;,Ap4m1
Q3U829,AP5Z1_MOUSE,231855;,Ap5z1
Q61315,APC_MOUSE,,Apc
Q8R146,APEH_MOUSE,235606;,Apeh
Q8C7N7,APH1B_MOUSE,208117;,Aph1b
Q9D842,APLF_MOUSE,72103;,Aplf
Q8C7G5,APOA5_MOUSE,66113;,Apoa5
Q05020,APOC2_MOUSE,105886299;11813;,Apoc2
Q61268,APOC4_MOUSE,11425;,Apoc4
Q64364,ARF_MOUSE,12578;,Cdkn2a
P61161,ARP2_MOUSE,66713;,Actr2
Q80US4,ARP5_MOUSE,,Actr5
Q9CVB6,ARPC2_MOUSE,76709;,Arpc2
P59999,ARPC4_MOUSE,68089;,Arpc4
Q91ZT7,ASB10_MOUSE,117590;,Asb10
Q8K0L0,ASB2_MOUSE,65256;,Asb2
Q91ZU0,ASB7_MOUSE,117589;,Asb7
Q91ZT8,ASB9_MOUSE,69299;,Asb9
Q9D8Z1,ASCC1_MOUSE,69090;,Ascc1
E9PZJ8,ASCC3_MOUSE,77987;,Ascc3
Q9JJR7,ASCL3_MOUSE,56787;,Ascl3
Q8VBT9,ASPC1_MOUSE,68938;,Aspscr1
Q64191,ASPG_MOUSE,11593;,Aga
Q61210,ARHG1_MOUSE,16801;,Arhgef1
Q60875,ARHG2_MOUSE,16800;,Arhgef2
Q62431,ARI3A_MOUSE,13496;,Arid3a
Q3U108,ARI5A_MOUSE,214855;,Arid5a
P61213,ARL4A_MOUSE,11861;,Arl4a
Q80ZU0,ARL5A_MOUSE,75423;,Arl5a
O88848,ARL6_MOUSE,56297;,Arl6
P56212,ARP19_MOUSE,59046;,Arpp19
Q9DCB4,ARP21_MOUSE,74100;,Arpp21
Q99JY9,ARP3_MOUSE,74117;,Actr3
P50296,ARY3_MOUSE,17962;,Nat3
Q9CQ31,ASB11_MOUSE,68854;,Asb11
Q9D738,ASB12_MOUSE,70392;,Asb12
Q8VHS6,ASB15_MOUSE,78910;,Asb15
Q8VHA6,ASB18_MOUSE,208372;,Asb18
Q9WV74,ASB1_MOUSE,65247;,Asb1
Q9EPE9,AT131_MOUSE,170759;,Atp13a1
Q9CTG6,AT132_MOUSE,74772;,Atp13a2
Q9WV27,AT1A4_MOUSE,27222;,Atp1a4
A2AWT3,AT7L3_MOUSE,217218;,Atxn7l3
Q6UQ17,AT8B3_MOUSE,67331;,Atp8b3
Q9D5T0,ATAD1_MOUSE,67979;,Atad1
P16951,ATF2_MOUSE,11909;,Atf2
F6VAN0,ATF6A_MOUSE,226641;,Atf6
Q68FE2,ATG9A_MOUSE,245860;,Atg9a
Q04646,ATNG_MOUSE,11936;,Fxyd2
Q8C6B9,AROS_MOUSE,66538;,Rps19bp1
Q9QZB7,ARP10_MOUSE,56444;,Actr10
Q9D898,ARP5L_MOUSE,74192;,Arpc5l
Q9CPW4,ARPC5_MOUSE,67771;,Arpc5
Q8C6Y6,ASB14_MOUSE,142687;,Asb14
Q91ZT9,ASB8_MOUSE,78541;,Asb8
O35885,ASCL2_MOUSE,17173;,Ascl2
Q9EPB4,ASC_MOUSE,66824;,Pycard
Q9DAP7,ASF1B_MOUSE,66929;,Asf1b
Q8C0M9,ASGL1_MOUSE,66514;,Asrgl1
P34927,ASGR1_MOUSE,11889;,Asgr1
Q99MY8,ASH1L_MOUSE,192195;,Ash1l
Q9Z1W8,AT12A_MOUSE,192113;,Atp12a
P14094,AT1B1_MOUSE,11931;,Atp1b1
Q8BWU8,AT2L1_MOUSE,71760;,Etnppl
Q8R1K4,AT2L2_MOUSE,72947;,Phykpl
P56383,AT5G2_MOUSE,67942;,Atp5g2
Q8CDM1,ATAD2_MOUSE,70472;,Atad2
Q06507,ATF4_MOUSE,11911;,Atf4
Q80XK6,ATG2B_MOUSE,76559;,Atg2b
Q8C9S8,ATG4A_MOUSE,666468;,Atg4a
Q811C2,ATG4C_MOUSE,242557;,Atg4c
Q8BGV9,ATG4D_MOUSE,235040;,Atg4d
O35143,ATIF1_MOUSE,11983;,Atpif1
Q9Z2E5,ATOH7_MOUSE,53404;,Atoh7
Q99NA2,ATOH8_MOUSE,71093;,Atoh8
Q64436,ATP4A_MOUSE,,Atp4a
P50992,ATP4B_MOUSE,11945;,Atp4b
P56382,ATP5E_MOUSE,67126;,Atp5f1e
P00848,ATP6_MOUSE,17705;,Mtatp6
O70228,ATP9A_MOUSE,11981;,Atp9a
P98195,ATP9B_MOUSE,50771;,Atp9b
Q9D7Q1,CHIT1_MOUSE,71884;,Chit1
Q8BJF9,CHM2B_MOUSE,68942;,Chmp2b
Q9D8B3,CHM4B_MOUSE,75608;,Chmp4b
Q9JKP8,CHRC1_MOUSE,93696;,Chrac1
Q9QUP4,CHST5_MOUSE,56773;,Chst5
Q9D9N5,CIB4_MOUSE,73259;,Cib4
Q924A2,CIC_MOUSE,71722;,Cic
O70302,CIDEA_MOUSE,12683;,Cidea
P59242,CING_MOUSE,,Cgn
Q62225,CISH_MOUSE,12700;,Cish
Q9CQT6,CJ082_MOUSE,67507;,
Q9D1Z2,CK091_MOUSE,68243;,
Q9DAE7,CK097_MOUSE,69325;,
Q8CJ61,CKLF4_MOUSE,97487;,Cmtm4
Q9D6G9,CKLF5_MOUSE,67272;,Cmtm5
Q3UY34,CL043_MOUSE,72357;,
Q9CX66,CL045_MOUSE,28109;,D10Wsu102e
Q80VP5,CL065_MOUSE,72650;,
Q80W69,CL071_MOUSE,73344;,
Q149M0,CL12B_MOUSE,71183;,Clec12b
Q6Q473,CLA4A_MOUSE,,Clca4a
Q8VI21,CLC2F_MOUSE,,Clec2f
Q9D676,CLC2G_MOUSE,70809;,Clec2g
Q9WVF9,CLC2I_MOUSE,93675;,Clec2i
Q9Z2H6,CLC4D_MOUSE,17474;,Clec4d
P70194,CLC4F_MOUSE,51811;,Clec4f
Q8VBX4,CLC4K_MOUSE,246278;,Cd207
O35054,CLD4_MOUSE,12740;,Cldn4
Q61124,CLN3_MOUSE,12752;,Cln3
Q99LI9,CLP1_MOUSE,98985;,Clp1
O88696,CLPP_MOUSE,53895;,Clpp
Q9D4C9,CLVS1_MOUSE,74438;,Clvs1
Q9QXS8,CMLO5_MOUSE,69049;,Cml5
Q9JJ93,CN119_MOUSE,58248;,
Q8K2Z4,CND1_MOUSE,68298;,Ncapd2
P29974,CNGA1_MOUSE,12788;,Cnga1
Q9JJZ8,CNGA3_MOUSE,12790;,Cnga3
Q9JJZ9,CNGB3_MOUSE,30952;,Cngb3
O35089,CNIH2_MOUSE,12794;,Cnih2
Q6ZWS4,CNIH3_MOUSE,72978;,Cnih3
Q8BMA3,CNKR3_MOUSE,215748;,Cnksr3
Q08091,CNN1_MOUSE,12797;,Cnn1
Q0GA42,CNNM1_MOUSE,83674;,Cnnm1
Q3TWN3,CNNM2_MOUSE,94219;,Cnnm2
Q69ZF7,CNNM4_MOUSE,94220;,Cnnm4
Q8BH15,CNO10_MOUSE,78893;,Cnot10
Q8BQ47,CNPY4_MOUSE,66455;,Cnpy4
P47936,CNR2_MOUSE,12802;,Cnr2
P28481,CO2A1_MOUSE,12824;,Col2a1
Q921H9,COA7_MOUSE,69893;,Coa7
Q05306,COAA1_MOUSE,12813;,Col10a1
P34821,BMP8A_MOUSE,12163;,Bmp8a
Q9ER10,BSSP4_MOUSE,70835;,Prss22
P58545,BTBD3_MOUSE,228662;,Btbd3
P50615,BTG3_MOUSE,12228;,Btg3
P35991,BTK_MOUSE,12229;,Btk
Q9JK39,BTNLA_MOUSE,192194;,Btnl10
Q9Z1S0,BUB1B_MOUSE,12236;,Bub1b
P13634,CAH1_MOUSE,12346;,Ca1
P00920,CAH2_MOUSE,12349;,Ca2
P0DP27,CALM2_MOUSE,12313;12314;12315;,Calm2
Q63810,CANB1_MOUSE,19058;,Ppp3r1
Q63811,CANB2_MOUSE,19059;,Ppp3r2
Q6ZQ73,CAND2_MOUSE,67088;,Cand2
Q8VCF1,CANT1_MOUSE,76025;,Cant1
Q8C3Q9,CASP9_MOUSE,12371;,Casp9
P70403,CASP_MOUSE,,Cux1
Q9CWL2,CASZ1_MOUSE,69743;,Casz1
P24270,CATA_MOUSE,12359;,Cat
Q9R014,CATJ_MOUSE,26898;,Ctsj
P06797,CATL1_MOUSE,13039;,Ctsl
Q9WUU7,CATZ_MOUSE,64138;,Ctsz
P49817,CAV1_MOUSE,12389;,Cav1
P51637,CAV3_MOUSE,12391;,Cav3
Q63918,CAVN2_MOUSE,20324;,Cavin2
Q91VJ2,CAVN3_MOUSE,109042;,Cavin3
Q8BUG5,CAYP2_MOUSE,353025;,Caps2
P70190,CAZA3_MOUSE,12344;,Capza3
Q9CRW3,CB076_MOUSE,73103;,
Q9JHG0,CBLN3_MOUSE,56410;,Cbln3
Q8BME9,CBLN4_MOUSE,228942;,Cbln4
P15089,CBPA3_MOUSE,12873;,Cpa3
Q6P8K8,CBPA4_MOUSE,71791;,Cpa4
Q5U901,CBPA6_MOUSE,329093;,Cpa6
Q641K1,CBPC1_MOUSE,67269;,Agtpbp1
Q8C9M2,CCD15_MOUSE,245902;,Ccdc15
Q9JIG7,CCD22_MOUSE,54638;,Ccdc22
Q8C4J0,CCD60_MOUSE,269693;,Ccdc60
Q8CDV6,CCD63_MOUSE,330188;,Ccdc63
Q9D5W4,CCD81_MOUSE,70884;,Ccdc81
Q9D4V3,CCD83_MOUSE,75338;,Ccdc83
Q8VDN4,CCD92_MOUSE,215707;,Ccdc92
Q8VHW2,CCG8_MOUSE,,Cacng8
Q9JJV3,CCGL_MOUSE,170706;,Tmem37
Q8K2I2,CCHCR_MOUSE,240084;,Cchcr1
P14097,CCL4_MOUSE,20303;,Ccl4
Q03366,CCL7_MOUSE,20306;,Ccl7
Q810T2,CCNB3_MOUSE,,Ccnb3
Q62447,CCNC_MOUSE,51813;,Ccnc
P51944,CCNF_MOUSE,12449;,Ccnf
Q61458,CCNH_MOUSE,66671;,Ccnh
O88874,CCNK_MOUSE,,Ccnk
P47774,CCR7_MOUSE,12775;,Ccr7
O35457,CCRL2_MOUSE,54199;,Ccrl2
Q8QZT2,CCSAP_MOUSE,73420;,Ccsap
Q8R422,CD109_MOUSE,235505;,Cd109
Q0P523,CIB3_MOUSE,234421;,Cib3
Q6PD19,CJ076_MOUSE,71617;,
Q3V1H1,CKAP2_MOUSE,80986;,Ckap2
Q8BMK4,CKAP4_MOUSE,216197;,Ckap4
A2AGT5,CKAP5_MOUSE,75786;,Ckap5
Q99LJ5,CKLF3_MOUSE,68119;,Cmtm3
Q9ESD6,CKLF7_MOUSE,102545;,Cmtm7
Q7TS74,CKP2L_MOUSE,70466;,Ckap2l
Q922J3,CLIP1_MOUSE,56430;,Clip1
Q9Z0H8,CLIP2_MOUSE,269713;,Clip2
Q6SJQ7,CLM1_MOUSE,246746;,Cd300lf
A2A7V7,CLM6_MOUSE,387565;,Cd300c
Q3U497,CLM7_MOUSE,217304;,Cd300lb
Q1ERP8,CLM9_MOUSE,52685;,Cd300lg
Q3UMW8,CLN5_MOUSE,211286;,Cln5
Q9JHS4,CLPX_MOUSE,270166;,Clpx
Q06890,CLUS_MOUSE,12759;,Clu
P21844,CMA1_MOUSE,17228;,Cma1
Q9QXX4,CMC2_MOUSE,50799;,Slc25a13
P26339,CMGA_MOUSE,12652;,Chga
Q9D486,CMIP_MOUSE,74440;,Cmip
Q9CZT6,CMS1_MOUSE,66497;,Cmss1
P53996,CNBP_MOUSE,12785;,Cnbp
Q6ZQK0,CNDD3_MOUSE,78658;,Ncapd3
Q8VEG6,CNO6L_MOUSE,231464;,Cnot6l
Q9JKY0,CNOT9_MOUSE,58184;,Cnot9
P01027,CO3_MOUSE,12266;,C3
Q5NBX1,COBL_MOUSE,12808;,Cobl
Q8BG94,COMD7_MOUSE,99311;,Commd7
O88587,COMT_MOUSE,12846;,Comt
Q9CQ13,COPRS_MOUSE,66423;,Coprs
Q9JHH9,COPZ2_MOUSE,56358;,Copz2
Q8BMS4,COQ3_MOUSE,230027;,Coq3
Q8K1Z0,COQ9_MOUSE,67914;,Coq9
Q91VF6,COQA1_MOUSE,140709;,Col26a1
Q9WUM4,COR1C_MOUSE,23790;,Coro1c
Q8BH44,COR2B_MOUSE,235431;,Coro2b
Q5QNQ9,CORA1_MOUSE,373864;,Col27a1
Q920M5,CORO6_MOUSE,216961;,Coro6
Q9D4A5,CP086_MOUSE,71046;,
Q8BT88,CP090_MOUSE,73261;,
Q9QZ82,CP11A_MOUSE,13070;,Cyp11a1
P28649,CP19A_MOUSE,13075;,Cyp19a1
P56657,CP240_MOUSE,13099;,Cyp2c40
Q64441,CP24A_MOUSE,13081;,Cyp24a1
Q6XVG2,CP254_MOUSE,404195;,Cyp2c54
P24457,CP2DB_MOUSE,545123;,Cyp2d11
Q05421,CP2E1_MOUSE,13106;,Cyp2e1
Q64481,CP3AG_MOUSE,13114;,Cyp3a16
O88833,CP4AA_MOUSE,13117;,Cyp4a10
Q64462,CP4B1_MOUSE,13120;,Cyp4b1
Q91WL5,CP4CA_MOUSE,277753;,Cyp4a12a
Q99N16,CP4F3_MOUSE,72054;,Cyp4f3
Q9EP75,CP4FE_MOUSE,64385;,Cyp4f14
Q812E0,CPEB2_MOUSE,,Cpeb2
O70303,CIDEB_MOUSE,12684;,Cideb
B1AR13,CISD3_MOUSE,217149;,Cisd3
Q9D4W2,CK065_MOUSE,75311;,
Q8VD62,CK068_MOUSE,107242;,Bles03
Q9CZR4,CKLF8_MOUSE,70031;,Cmtm8
Q9DAS1,CKLF_MOUSE,75458;,Cklf
Q8BTC1,CL073_MOUSE,544717;,
Q80U30,CL16A_MOUSE,74374;,Clec16a
O88552,CLD2_MOUSE,12738;,Cldn2
Q9Z0G9,CLD3_MOUSE,12739;,Cldn3
Q9Z262,CLD6_MOUSE,54419;,Cldn6
Q9Z1Q5,CLIC1_MOUSE,114584;,Clic1
Q9D7P7,CLIC3_MOUSE,69454;,Clic3
Q9QYB1,CLIC4_MOUSE,29876;,Clic4
O35492,CLK3_MOUSE,102414;,Clk3
O35493,CLK4_MOUSE,12750;,Clk4
Q6SJQ0,CLM8_MOUSE,217303;,Cd300a
Q9QUK3,CLN8_MOUSE,26889;,Cln8
Q99JA4,CLTR1_MOUSE,58861;,Cysltr1
Q920A1,CLTR2_MOUSE,70086;,Cysltr2
Q8R3P7,CLUA1_MOUSE,76779;,Cluap1
Q3ZRW6,CLUL1_MOUSE,,Clul1
Q3U5Q7,CMPK2_MOUSE,22169;,Cmpk2
Q6DFV1,CNDG2_MOUSE,76044;,Ncapg2
Q3UW12,CNGA4_MOUSE,233649;,Cnga4
Q8BT14,CNOT4_MOUSE,53621;,Cnot4
Q60809,CNOT7_MOUSE,18983;,Cnot7
Q5M8N0,CNRP1_MOUSE,380686;,Cnrip1
O88507,CNTFR_MOUSE,12804;,Cntfr
Q62507,COCH_MOUSE,12810;,Coch
Q80X19,COEA1_MOUSE,12818;,Col14a1
Q9Z160,COG1_MOUSE,16834;,Cog1
Q3UW21,COLL2_MOUSE,328788;,Clpsl2
Q8K445,CLRN1_MOUSE,229320;,Clrn1
Q8BHH8,CLRN3_MOUSE,212070;,Clrn3
Q80YR7,CLSPN_MOUSE,269582;,Clspn
Q5SW19,CLU_MOUSE,74148;,Cluh
Q8BG92,CLVS2_MOUSE,215890;,Clvs2
Q8BIG7,CMTD1_MOUSE,69156;,Comtd1
Q9DBC3,CMTR1_MOUSE,74157;,Cmtr1
Q4KL13,CN028_MOUSE,217648;,Gm527
Q8BT18,CN037_MOUSE,67419;,
Q8K2W9,CN093_MOUSE,74359;,
Q9D5U8,CNBD2_MOUSE,70873;,Cnbd2
Q8K158,CNPD1_MOUSE,69171;,Cnppd1
P09174,CNRG_MOUSE,18588;,Pde6g
P12960,CNTN1_MOUSE,12805;,Cntn1
A2AL36,CNTRL_MOUSE,26920;,Cntrl
Q3TEI4,CO039_MOUSE,74211;,
Q3U4G0,CO041_MOUSE,399568;,
Q8CD60,CO059_MOUSE,319477;,
Q8CE97,CO062_MOUSE,623781;,Gm14137
Q04857,CO6A1_MOUSE,12833;,Col6a1
Q02788,CO6A2_MOUSE,12834;,Col6a2
P25318,CO8A2_MOUSE,329941;,Col8a2
Q9D2R6,COA3_MOUSE,52469;,Coa3
O08792,COE2_MOUSE,13592;,Ebf2
O35206,COFA1_MOUSE,12819;,Col15a1
Q921L5,COG2_MOUSE,76332;,Cog2
Q07563,COHA1_MOUSE,12821;,Col17a1
Q923P0,COKA1_MOUSE,73368;,Col20a1
Q8CF98,COL10_MOUSE,239447;,Colec10
O35348,COLQ_MOUSE,382864;,Colq
Q8K4M5,COMD1_MOUSE,17846;,Commd1
Q5XJY5,COPD_MOUSE,213827;,Arcn1
P61924,COPZ1_MOUSE,56447;,Copz1
Q9WUM3,COR1B_MOUSE,23789;,Coro1b
P43135,COT2_MOUSE,11819;,Nr2f2
Q07409,CNTN3_MOUSE,18488;,Cntn3
Q69Z26,CNTN4_MOUSE,269784;,Cntn4
P68500,CNTN5_MOUSE,244682;,Cntn5
Q99P47,CNTP4_MOUSE,170571;,Cntnap4
Q8CB62,CNTRB_MOUSE,216846;,Cntrob
Q0VG49,CO061_MOUSE,69478;,
Q63870,CO7A1_MOUSE,12836;,Col7a1
Q8BGD8,COA6_MOUSE,67892;,Coa6
Q61245,COBA1_MOUSE,12814;,Col11a1
O55029,COPB2_MOUSE,50797;,Copb2
O89079,COPE_MOUSE,59042;,Cope
Q9QZE5,COPG1_MOUSE,54161;,Copg1
Q9QXK3,COPG2_MOUSE,54160;,Copg2
Q8K211,COPT1_MOUSE,20529;,Slc31a1
Q8R1S0,COQ6_MOUSE,217707;,Coq6
P97478,COQ7_MOUSE,12850;,Coq7
O89053,COR1A_MOUSE,12721;,Coro1a
Q8C0P5,COR2A_MOUSE,107684;,Coro2a
Q60632,COT1_MOUSE,13865;,Nr2f1
Q9CQI6,COTL1_MOUSE,72042;,Cotl1
Q6P8I6,COX11_MOUSE,69802;,Cox11
Q8BJ03,COX15_MOUSE,226139;,Cox15
P12787,COX5A_MOUSE,12858;,Cox5a
Q8C784,CP052_MOUSE,233812;,
Q14AM7,CP072_MOUSE,69053;,
Q80VN0,CP100_MOUSE,243538;,Cfap100
P03940,CP21A_MOUSE,13079;,Cyp21
P56655,CP238_MOUSE,13097;,Cyp2c38
Q60952,CP250_MOUSE,16328;,Cep250
Q811W2,CP26B_MOUSE,232174;,Cyp26b1
P20852,CP2A5_MOUSE,,Cyp2a5
P12790,CP2B9_MOUSE,13094;,Cyp2b9
E9Q816,CP2W1_MOUSE,545817;,Cyp2w1
Q8BLR2,CPNE4_MOUSE,74020;,Cpne4
Q9Z140,CPNE6_MOUSE,12891;,Cpne6
Q9DC53,CPNE8_MOUSE,66871;,Cpne8
Q6NVF9,CPSF6_MOUSE,432508;,Cpsf6
P97742,CPT1A_MOUSE,12894;,Cpt1a
Q8BS40,CPTP_MOUSE,79554;,Cptp
Q9D3S9,CPVL_MOUSE,71287;,Cpvl
Q8C1R3,CQ050_MOUSE,66330;,
